node,type
C0032460,indication
C0040822,indication
5092,protein
C0751435,indication
C0004238,indication
C0033975,indication
C0085612,indication
C0020615,indication
5664,protein
C0018802,indication
823,protein
C0029134,indication
7273,protein
C0007789,indication
9223,protein
C0271623,indication
C0023890,indication
C0020514,indication
C0206686,indication
C0334634,indication
C0027708,indication
C0001430,indication
C2239176,indication
C0024121,indication
C0687720,indication
C0036920,indication
C0042909,indication
C0553580,indication
C0035335,indication
C0029463,indication
C0596263,indication
1523,protein
7251,protein
C0043515,indication
C0030920,indication
C0001206,indication
C0011991,indication
C0014868,indication
C0020502,indication
C0021670,indication
C0033375,indication
C0020437,indication
C0220994,indication
C0014550,indication
5000,protein
10270,protein
7534,protein
81704,protein
998,protein
1033,protein
5932,protein
C0006625,indication
C0151686,indication
C0878787,indication
C0018798,indication
9464,protein
C0079744,indication
1213,protein
C0003873,indication
C0000786,indication
C0392784,indication
C0151526,indication
C0008311,indication
C0029408,indication
C0037286,indication
C0233315,indication
C0016057,indication
C0029456,indication
C0042345,indication
C2973725,indication
C0027726,indication
C0029434,indication
C0011616,indication
7295,protein
4088,protein
C0409959,indication
C0042138,indication
C0010346,indication
C0013405,indication
C0023267,indication
4089,protein
C0002871,indication
C0020621,indication
C0346647,indication
C0003492,indication
C1134719,indication
10928,protein
891,protein
C0014173,indication
1465,protein
C0024141,indication
C0870082,indication
C0018418,indication
C0034013,indication
C0020555,indication
C0030567,indication
C0029927,indication
C0271650,indication
C0259817,indication
C0020459,indication
C0020456,indication
C0011882,indication
C0024115,indication
C0085631,indication
C0018273,indication
C0011860,indication
C0542346,indication
C0042963,indication
C0025500,indication
C0014175,indication
C0021655,indication
C0876973,indication
C0014859,indication
C0018671,indication
C0032580,indication
405,protein
6492,protein
C0039841,indication
266743,protein
C0005587,indication
1839,protein
C0014549,indication
C0022661,indication
7704,protein
C0022116,indication
C0006118,indication
C0017668,indication
1647,protein
C0023434,indication
11073,protein
6635,protein
1958,protein
1387,protein
C0024301,indication
4926,protein
C0162820,indication
2035,protein
5335,protein
C0079773,indication
C0027686,indication
C0011881,indication
C0041948,indication
C0014556,indication
308,protein
C0019202,indication
133522,protein
C0021364,indication
C0021361,indication
6597,protein
C1261473,indication
C0006413,indication
C0262584,indication
79039,protein
C0242350,indication
C0151721,indication
C0342384,indication
C0232940,indication
C0271578,indication
C0027022,indication
C0027424,indication
C0020517,indication
C0013264,indication
C0034069,indication
C0004096,indication
C0029458,indication
C0010674,indication
C0023892,indication
C0008312,indication
C0005138,indication
C0040028,indication
C0020507,indication
C0036202,indication
C0032285,indication
C0030848,indication
C0042109,indication
C0024117,indication
C0013238,indication
C0948089,indication
C0007194,indication
C0013421,indication
C0008489,indication
C0042487,indication
C0034065,indication
C0013604,indication
C0398623,indication
C1861172,indication
C1408258,indication
C0040053,indication
2810,protein
C0220983,indication
C0028949,indication
C0028840,indication
C0023473,indication
C0035228,indication
C0085682,indication
C0015624,indication
6517,protein
1616,protein
6386,protein
9463,protein
2896,protein
2775,protein
C0428977,indication
2771,protein
C0004245,indication
C0003578,indication
2773,protein
C0028768,indication
C0003862,indication
C0015371,indication
C1565489,indication
C0917801,indication
C0020545,indication
C0035078,indication
3084,protein
C0038358,indication
C0030193,indication
2252,protein
C2937421,indication
C0024591,indication
C0040034,indication
10459,protein
2826,protein
3178,protein
C0002736,indication
C0043352,indication
10989,protein
29894,protein
3064,protein
C0020179,indication
29072,protein
10971,protein
C0009763,indication
6929,protein
C0029443,indication
C0003864,indication
C0037199,indication
C2242472,indication
3399,protein
3667,protein
7531,protein
5599,protein
C0040997,indication
C0011615,indication
C0343755,indication
C0311375,indication
C0020649,indication
C0037274,indication
C0011633,indication
C0032897,indication
4692,protein
C0235063,indication
C0021359,indication
C0003962,indication
C0085669,indication
C0023518,indication
C0014867,indication
C1306889,indication
C0917805,indication
C0040038,indication
C0836924,indication
C0151942,indication
C0032463,indication
C0012833,indication
C0026987,indication
C0042571,indication
3875,protein
C0042384,indication
867,protein
4000,protein
C0040136,indication
C0948896,indication
C0221032,indication
C0025322,indication
C0085096,indication
C0037188,indication
C0042514,indication
C0020676,indication
C1704436,indication
C0034067,indication
C0085681,indication
C0020619,indication
C0018794,indication
C0022665,indication
C0022575,indication
C0473527,indication
C0011644,indication
C0021775,indication
C0004239,indication
C0015944,indication
4001,protein
C0085606,indication
6720,protein
C0024305,indication
C0276535,indication
C0026764,indication
57142,protein
C0034150,indication
C0006267,indication
C0398650,indication
4066,protein
C0023448,indication
8631,protein
C0026769,indication
5788,protein
C0029882,indication
C0020542,indication
C0009319,indication
23406,protein
7409,protein
C0038363,indication
C0018203,indication
7520,protein
4286,protein
C0036651,indication
4015,protein
4904,protein
4160,protein
C0039590,indication
55729,protein
2274,protein
6134,protein
C1961099,indication
C0023465,indication
4297,protein
C0023479,indication
C0023470,indication
4703,protein
C0015397,indication
4804,protein
4886,protein
9627,protein
C0020651,indication
C0017205,indication
1326,protein
C0011875,indication
C0010692,indication
C0019080,indication
C0270458,indication
C0085605,indication
10848,protein
2113,protein
C0040147,indication
C0020550,indication
C0022596,indication
C0018021,indication
C0040046,indication
C0149871,indication
208,protein
26060,protein
2114,protein
22941,protein
2017,protein
C0401151,indication
7456,protein
C0021390,indication
6497,protein
4893,protein
C0206682,indication
C0020757,indication
C0005779,indication
C0238463,indication
C0019087,indication
C0079731,indication
C0028326,indication
10765,protein
2290,protein
C0037036,indication
C0013384,indication
2146,protein
C0019829,indication
5966,protein
C0032914,indication
4643,protein
C1561643,indication
C0036421,indication
387,protein
C0079774,indication
7091,protein
8997,protein
C0020476,indication
C0699791,indication
5310,protein
C0085413,indication
5573,protein
C0010481,indication
C0001627,indication
C0014121,indication
C0032000,indication
C0156404,indication
C0033806,indication
C0010308,indication
8165,protein
7110,protein
C0155862,indication
C0456909,indication
23286,protein
4094,protein
23607,protein
5868,protein
79890,protein
5906,protein
889,protein
5908,protein
675,protein
5888,protein
10131,protein
5934,protein
10902,protein
286,protein
4005,protein
C0023449,indication
6886,protein
8940,protein
6628,protein
5174,protein
6550,protein
6662,protein
2516,protein
C0085215,indication
C0001623,indication
8204,protein
6804,protein
939,protein
2286,protein
4647,protein
11216,protein
8557,protein
7024,protein
6935,protein
10589,protein
1869,protein
C0003123,indication
C0242698,indication
C0027796,indication
C0238462,indication
C0022568,indication
C0010043,indication
C0221260,indication
3265,protein
C0162834,indication
3845,protein
C0887833,indication
C0376358,indication
7138,protein
7128,protein
C1527336,indication
C0022593,indication
C0027497,indication
C0001618,indication
51741,protein
7132,protein
C0014733,indication
C0029191,indication
C0031046,indication
C1275126,indication
274,protein
2313,protein
2623,protein
C1260899,indication
C0023437,indication
7428,protein
7515,protein
C0038362,indication
11284,protein
8805,protein
4210,protein
C0149745,indication
C0003872,indication
C0025289,indication
C0031069,indication
7507,protein
7508,protein
5886,protein
C0268583,indication
3054,protein
2551,protein
57509,protein
10048,protein
6421,protein
11099,protein
10716,protein
3397,protein
C0042870,indication
1741,protein
23413,protein
11141,protein
9826,protein
10128,protein
8409,protein
7337,protein
29978,protein
1488,protein
54902,protein
990,protein
1678,protein
30011,protein
1837,protein
C0238198,indication
7454,protein
C0018924,indication
10243,protein
C0494475,indication
23229,protein
10084,protein
23414,protein
C0019069,indication
C0019151,indication
4068,protein
C0014038,indication
2332,protein
C0338908,indication
C0042024,indication
C0042023,indication
C0175683,indication
C1527311,indication
C0006114,indication
6103,protein
C0242383,indication
C0024437,indication
57096,protein
C0524620,indication
C0085159,indication
8777,protein
C0236663,indication
C0149821,indication
6855,protein
6872,protein
5901,protein
C0005967,indication
8202,protein
8031,protein
3642,protein
3930,protein
C0032227,indication
23162,protein
57099,protein
664,protein
6252,protein
581,protein
597,protein
8772,protein
1740,protein
6908,protein
C0013144,indication
4780,protein
C0042900,indication
326,protein
C0022573,indication
84687,protein
1029,protein
C0281361,indication
6776,protein
1984,protein
6125,protein
7088,protein
3170,protein
3572,protein
1855,protein
1063,protein
7290,protein
27247,protein
1825,protein
6310,protein
C0087012,indication
9409,protein
C0001403,indication
C0043459,indication
C0405580,indication
5824,protein
27429,protein
585,protein
C0005424,indication
5108,protein
9564,protein
10293,protein
2314,protein
7516,protein
5892,protein
3398,protein
6938,protein
6925,protein
5193,protein
5830,protein
C0014877,indication
5194,protein
9451,protein
C0740394,indication
3508,protein
1742,protein
4690,protein
5965,protein
10413,protein
8554,protein
6772,protein
C0276226,indication
C0014356,indication
C0002880,indication
3759,protein
C0235480,indication
3191,protein
3430,protein
6854,protein
C0241961,indication
1027,protein
C0007095,indication
C0032019,indication
3636,protein
9612,protein
1028,protein
871,protein
C0035222,indication
C0746102,indication
4760,protein
1639,protein
2186,protein
6868,protein
C0005741,indication
C0011606,indication
10577,protein
572,protein
C0020433,indication
C0013182,indication
23705,protein
5902,protein
3675,protein
657,protein
10262,protein
C0023480,indication
2120,protein
4085,protein
C0023869,indication
573,protein
2887,protein
5629,protein
7874,protein
5913,protein
7022,protein
6016,protein
22808,protein
5887,protein
2969,protein
5705,protein
7185,protein
9869,protein
5191,protein
5192,protein
6670,protein
8859,protein
C0022951,indication
4175,protein
5994,protein
C0149725,indication
5993,protein
3603,protein
8454,protein
6888,protein
C0030305,indication
1207,protein
3835,protein
6314,protein
1406,protein
4734,protein
1785,protein
50944,protein
642,protein
5528,protein
10987,protein
C0035455,indication
57120,protein
26034,protein
C0020625,indication
5999,protein
8773,protein
406,protein
9939,protein
8626,protein
C0010930,indication
8648,protein
321,protein
C0559106,indication
C0030590,indication
C0043202,indication
C0034063,indication
C0085610,indication
C0595948,indication
C0270846,indication
C0238111,indication
4092,protein
9355,protein
694,protein
54476,protein
7098,protein
7100,protein
55740,protein
1317,protein
2175,protein
1108,protein
8735,protein
10892,protein
8915,protein
1174,protein
C0268070,indication
8905,protein
8932,protein
53615,protein
57680,protein
C0524909,indication
7332,protein
3090,protein
10158,protein
10059,protein
8451,protein
8453,protein
5873,protein
10460,protein
10142,protein
C0022650,indication
54822,protein
9380,protein
10672,protein
26986,protein
10043,protein
10318,protein
10015,protein
10549,protein
11252,protein
6712,protein
C0004775,indication
C0020428,indication
9368,protein
8725,protein
11186,protein
C0036323,indication
143,protein
9961,protein
9457,protein
27185,protein
11178,protein
11171,protein
25890,protein
10628,protein
10675,protein
5080,protein
C0002418,indication
C0234533,indication
23236,protein
C0037769,indication
23594,protein
23431,protein
10717,protein
55553,protein
3315,protein
22948,protein
28964,protein
5781,protein
C0039103,indication
57761,protein
9915,protein
C0011848,indication
C0005697,indication
5073,protein
C1800706,indication
C0031099,indication
C0017563,indication
56915,protein
2672,protein
4016,protein
10516,protein
C0042373,indication
5592,protein
9351,protein
1734,protein
1107,protein
10210,protein
1407,protein
8864,protein
55145,protein
5074,protein
26135,protein
3297,protein
8189,protein
3798,protein
4173,protein
898,protein
8452,protein
C0020461,indication
C0036337,indication
1501,protein
2787,protein
2788,protein
10550,protein
6272,protein
64324,protein
93663,protein
90417,protein
23204,protein
9533,protein
51082,protein
23345,protein
57492,protein
24148,protein
51466,protein
25842,protein
23532,protein
9611,protein
1192,protein
64215,protein
1460,protein
8930,protein
C0005684,indication
C4048328,indication
C1336708,indication
9873,protein
92667,protein
55816,protein
3887,protein
60,protein
1072,protein
10982,protein
2130,protein
56952,protein
22822,protein
83746,protein
9189,protein
26150,protein
C0162429,indication
C0019880,indication
11235,protein
84991,protein
113878,protein
9721,protein
2992,protein
2997,protein
5257,protein
51684,protein
4598,protein
C0342731,indication
10363,protein
50717,protein
311,protein
1366,protein
3190,protein
7431,protein
3198,protein
51655,protein
25788,protein
329,protein
3854,protein
54826,protein
10551,protein
54458,protein
9907,protein
7447,protein
29947,protein
4100,protein
23636,protein
6945,protein
C0020546,indication
C0017086,indication
9055,protein
6023,protein
89797,protein
55198,protein
4782,protein
3796,protein
54431,protein
25796,protein
138046,protein
26511,protein
4591,protein
5300,protein
11228,protein
2272,protein
26580,protein
26258,protein
51103,protein
6696,protein
84062,protein
115265,protein
54474,protein
3839,protein
3205,protein
23270,protein
6687,protein
8835,protein
C0027404,indication
10253,protein
5991,protein
8878,protein
7257,protein
1649,protein
C0041582,indication
51586,protein
9632,protein
10483,protein
51324,protein
116071,protein
3880,protein
71,protein
22954,protein
202559,protein
3927,protein
22943,protein
27229,protein
7518,protein
C0242339,indication
10148,protein
4849,protein
2010,protein
89885,protein
7381,protein
C0013386,indication
8623,protein
9099,protein
C0030319,indication
408,protein
862,protein
11170,protein
30008,protein
6426,protein
8379,protein
6999,protein
27316,protein
8405,protein
10063,protein
7414,protein
80306,protein
25844,protein
23174,protein
57088,protein
8676,protein
868,protein
8495,protein
9025,protein
87,protein
5987,protein
4292,protein
84281,protein
2670,protein
23410,protein
9129,protein
3306,protein
8572,protein
169792,protein
C0017605,indication
C0027661,indication
C0008677,indication
9841,protein
11040,protein
7536,protein
10758,protein
C1384606,indication
C0040261,indication
26525,protein
22934,protein
25816,protein
29079,protein
10919,protein
2189,protein
55367,protein
51317,protein
3434,protein
C0036983,indication
10320,protein
55209,protein
1671,protein
27125,protein
79092,protein
C0032027,indication
8615,protein
9782,protein
7355,protein
79156,protein
9094,protein
6455,protein
1032,protein
362,protein
222546,protein
81565,protein
8851,protein
57333,protein
114822,protein
25953,protein
7168,protein
84527,protein
196441,protein
4354,protein
55110,protein
9456,protein
3159,protein
1848,protein
10179,protein
7314,protein
6231,protein
90121,protein
C0032787,indication
C0002895,indication
51364,protein
C0027430,indication
C2718128,indication
11020,protein
C0424489,indication
9709,protein
9531,protein
22806,protein
6160,protein
C0022638,indication
6890,protein
C0006271,indication
84516,protein
9342,protein
5211,protein
7755,protein
11277,protein
9411,protein
3087,protein
51447,protein
7189,protein
60493,protein
389,protein
392,protein
C0151636,indication
8260,protein
C0039240,indication
C0040479,indication
4291,protein
6208,protein
C0178416,indication
10602,protein
55165,protein
10010,protein
51204,protein
C0282193,indication
26119,protein
8440,protein
3872,protein
7170,protein
7538,protein
C0011603,indication
55109,protein
1780,protein
22924,protein
8667,protein
8991,protein
3726,protein
23635,protein
C0270736,indication
84894,protein
C0003868,indication
C0018099,indication
C0002888,indication
463,protein
1316,protein
5307,protein
1071,protein
583,protein
1398,protein
10935,protein
81,protein
4223,protein
9877,protein
25978,protein
83638,protein
4267,protein
81029,protein
29950,protein
54469,protein
6095,protein
54407,protein
51194,protein
4093,protein
894,protein
9871,protein
699,protein
10397,protein
26276,protein
5805,protein
5631,protein
1048,protein
1454,protein
1933,protein
23136,protein
9341,protein
84171,protein
1995,protein
7027,protein
2791,protein
23321,protein
1164,protein
4300,protein
55503,protein
2582,protein
28973,protein
54386,protein
30834,protein
4794,protein
1831,protein
5997,protein
C0030569,indication
79870,protein
3059,protein
2702,protein
C0346421,indication
81608,protein
C1540912,indication
10456,protein
23493,protein
1153,protein
C0751865,indication
84285,protein
682,protein
11278,protein
84628,protein
2592,protein
10342,protein
29925,protein
29926,protein
2067,protein
1030,protein
26508,protein
6919,protein
23424,protein
221458,protein
6860,protein
1978,protein
2202,protein
29108,protein
C0221765,indication
10611,protein
5125,protein
51510,protein
64170,protein
C0038013,indication
2009,protein
3662,protein
9075,protein
7432,protein
C0085129,indication
9444,protein
27130,protein
C2316810,indication
8050,protein
1453,protein
23421,protein
C0024419,indication
4615,protein
29115,protein
3589,protein
55872,protein
4149,protein
23208,protein
28988,protein
6234,protein
10133,protein
115761,protein
7318,protein
9636,protein
11043,protein
C0936215,indication
C0206245,indication
9832,protein
5862,protein
55670,protein
5630,protein
4800,protein
27339,protein
8504,protein
4601,protein
638,protein
10617,protein
1977,protein
842,protein
C0236964,indication
402,protein
7307,protein
578,protein
64121,protein
25913,protein
10587,protein
2803,protein
C0040015,indication
C0025323,indication
22976,protein
538,protein
C0019054,indication
540,protein
C0004604,indication
3981,protein
C0042510,indication
6385,protein
5366,protein
637,protein
90427,protein
27113,protein
3651,protein
C0730345,indication
5420,protein
4609,protein
6794,protein
C0162316,indication
92335,protein
54840,protein
C0042842,indication
859,protein
4771,protein
C0037930,indication
79101,protein
885,protein
887,protein
C1621958,indication
4060,protein
176,protein
5481,protein
C0206693,indication
C0027662,indication
6100,protein
65059,protein
55743,protein
4323,protein
5609,protein
C0032987,indication
10321,protein
23451,protein
7171,protein
C0026998,indication
4869,protein
3187,protein
9112,protein
9219,protein
25942,protein
9128,protein
23020,protein
1974,protein
10594,protein
3799,protein
8924,protein
7832,protein
5718,protein
5905,protein
4905,protein
9861,protein
9051,protein
2222,protein
4163,protein
50628,protein
8764,protein
1031,protein
126133,protein
8660,protein
5445,protein
8826,protein
3106,protein
C0026896,indication
C0027697,indication
51643,protein
10999,protein
1778,protein
C0151714,indication
1175,protein
9526,protein
C0023443,indication
1917,protein
7415,protein
3692,protein
4795,protein
10109,protein
2720,protein
6185,protein
3891,protein
25778,protein
9318,protein
63891,protein
1270,protein
9046,protein
56945,protein
C0020544,indication
4627,protein
C0010691,indication
5495,protein
10125,protein
1021,protein
5924,protein
7385,protein
5518,protein
958,protein
C0026691,indication
C0041296,indication
11151,protein
7030,protein
10295,protein
9101,protein
C0025874,indication
54919,protein
6949,protein
10641,protein
47,protein
7555,protein
C4083212,indication
10097,protein
8655,protein
C0042880,indication
9414,protein
396,protein
6147,protein
26504,protein
1650,protein
23085,protein
56475,protein
60528,protein
8546,protein
C1328407,indication
8900,protein
8625,protein
3800,protein
10654,protein
2288,protein
1967,protein
8891,protein
5825,protein
9474,protein
55256,protein
1629,protein
C0020474,indication
7391,protein
29127,protein
6623,protein
4628,protein
23178,protein
10955,protein
191,protein
4218,protein
3956,protein
6001,protein
808,protein
5813,protein
55215,protein
6446,protein
7803,protein
2688,protein
C0013338,indication
6223,protein
9689,protein
1654,protein
11214,protein
11231,protein
23165,protein
146057,protein
6251,protein
837,protein
9126,protein
11337,protein
2131,protein
7430,protein
10965,protein
23246,protein
51527,protein
6204,protein
6927,protein
6876,protein
4913,protein
4625,protein
6836,protein
8537,protein
6144,protein
51593,protein
64434,protein
25782,protein
8195,protein
22999,protein
8560,protein
10945,protein
9131,protein
5358,protein
11133,protein
6154,protein
26298,protein
2192,protein
8837,protein
5218,protein
7417,protein
203,protein
58508,protein
3882,protein
10788,protein
2091,protein
6165,protein
4620,protein
2176,protein
8575,protein
7077,protein
9695,protein
6615,protein
987,protein
C0017152,indication
55210,protein
267,protein
C0022660,indication
8526,protein
6317,protein
8668,protein
2778,protein
C0151940,indication
C0029396,indication
832,protein
10644,protein
54938,protein
C0151723,indication
488,protein
C0022595,indication
10111,protein
C0005694,indication
C0017612,indication
C0013295,indication
C0451641,indication
202333,protein
9821,protein
8893,protein
1545,protein
1203,protein
23071,protein
3069,protein
6748,protein
23294,protein
9732,protein
25814,protein
4642,protein
9987,protein
1607,protein
81876,protein
23534,protein
C0343065,indication
593,protein
51067,protein
148867,protein
9978,protein
25780,protein
6235,protein
8407,protein
2029,protein
6625,protein
8243,protein
6318,protein
7249,protein
C0751674,indication
C0041341,indication
C0205768,indication
64359,protein
221037,protein
5209,protein
3105,protein
4928,protein
1861,protein
7416,protein
9060,protein
6428,protein
56925,protein
24137,protein
1656,protein
C0027121,indication
3514,protein
10236,protein
4968,protein
2521,protein
4796,protein
55054,protein
29097,protein
6168,protein
9183,protein
51035,protein
546,protein
7178,protein
2873,protein
27350,protein
8412,protein
864,protein
1655,protein
489,protein
10772,protein
6648,protein
C0235974,indication
C0041408,indication
C0042164,indication
C0036980,indication
C0002390,indication
8312,protein
8030,protein
6576,protein
55252,protein
C0014553,indication
30000,protein
23197,protein
5036,protein
27044,protein
55737,protein
6311,protein
3836,protein
27436,protein
3959,protein
4478,protein
51081,protein
6520,protein
1965,protein
57338,protein
85415,protein
10963,protein
23418,protein
259173,protein
7187,protein
2289,protein
3308,protein
55294,protein
6128,protein
6599,protein
6605,protein
6598,protein
23118,protein
10454,protein
9755,protein
2177,protein
C0008149,indication
C0002893,indication
C0018995,indication
C0018790,indication
C0948480,indication
C0026948,indication
220988,protein
C0272375,indication
8813,protein
3047,protein
7879,protein
4831,protein
80025,protein
3303,protein
641,protein
23054,protein
430,protein
324,protein
1495,protein
2178,protein
23491,protein
1410,protein
1487,protein
10542,protein
5829,protein
4582,protein
C0005699,indication
C1960397,indication
6595,protein
5271,protein
5777,protein
5921,protein
1796,protein
5663,protein
C0162836,indication
23095,protein
4437,protein
3727,protein
4683,protein
C0002874,indication
701,protein
9184,protein
2188,protein
C0011884,indication
C0038525,indication
2071,protein
C0003850,indication
23186,protein
4091,protein
7503,protein
6667,protein
8795,protein
356,protein
843,protein
841,protein
9846,protein
9440,protein
857,protein
1050,protein
1399,protein
2308,protein
10083,protein
2626,protein
7486,protein
3169,protein
3732,protein
977,protein
928,protein
C0034951,indication
5923,protein
56616,protein
1630,protein
7984,protein
54206,protein
8139,protein
2886,protein
23327,protein
23479,protein
5318,protein
11187,protein
53635,protein
5771,protein
C0022073,indication
9743,protein
26037,protein
8871,protein
5890,protein
5889,protein
7517,protein
5728,protein
C0677607,indication
650,protein
1001,protein
57178,protein
2768,protein
1000,protein
655,protein
C0221013,indication
C0024899,indication
6709,protein
2072,protein
64682,protein
7181,protein
4616,protein
4217,protein
890,protein
10771,protein
3164,protein
9150,protein
5792,protein
10522,protein
3337,protein
973,protein
4599,protein
7469,protein
6253,protein
10135,protein
55120,protein
26121,protein
6141,protein
6950,protein
8517,protein
5537,protein
70,protein
10193,protein
860,protein
C0038018,indication
317,protein
114327,protein
23385,protein
3688,protein
1759,protein
C0035258,indication
3619,protein
6402,protein
114990,protein
7042,protein
7043,protein
26277,protein
9013,protein
25885,protein
2068,protein
79139,protein
C0036690,indication
C0033581,indication
C0014534,indication
6135,protein
4602,protein
10498,protein
29123,protein
9968,protein
9282,protein
10025,protein
5469,protein
7114,protein
9712,protein
1789,protein
1665,protein
22872,protein
5077,protein
4205,protein
1041,protein
27131,protein
340205,protein
3679,protein
80746,protein
79042,protein
283989,protein
10978,protein
9935,protein
7097,protein
C0038160,indication
7328,protein
11065,protein
221692,protein
58484,protein
64127,protein
7504,protein
C0409818,indication
114548,protein
C0268390,indication
C2316212,indication
C0002792,indication
C0016470,indication
C0042035,indication
2647,protein
388552,protein
10775,protein
10557,protein
C0948216,indication
3624,protein
60482,protein
2309,protein
835,protein
8738,protein
8148,protein
64061,protein
148022,protein
4644,protein
9382,protein
22796,protein
9610,protein
23256,protein
4654,protein
6640,protein
652,protein
8831,protein
3579,protein
C0024894,indication
4645,protein
27161,protein
8021,protein
C0019243,indication
7225,protein
C0751122,indication
1051,protein
10537,protein
920,protein
7763,protein
1642,protein
23025,protein
5864,protein
27445,protein
7317,protein
5230,protein
C0085580,indication
118,protein
10891,protein
23551,protein
10203,protein
152789,protein
23365,protein
23396,protein
27086,protein
93986,protein
116113,protein
9575,protein
C0001957,indication
56938,protein
8863,protein
9637,protein
150684,protein
23301,protein
360,protein
1745,protein
6885,protein
3621,protein
2913,protein
9699,protein
7781,protein
54210,protein
23492,protein
2733,protein
9631,protein
4862,protein
4851,protein
10345,protein
91768,protein
5245,protein
6352,protein
1234,protein
2776,protein
1009,protein
79026,protein
4691,protein
23090,protein
607,protein
688,protein
8914,protein
1408,protein
55690,protein
C0037763,indication
C0013390,indication
C0012739,indication
5982,protein
5348,protein
22854,protein
22930,protein
5216,protein
1729,protein
6502,protein
27063,protein
667,protein
C0023052,indication
710,protein
C0024143,indication
C0398775,indication
C0002994,indication
4853,protein
79574,protein
6654,protein
65266,protein
C0017531,indication
C0020503,indication
C0022876,indication
C0036220,indication
C1384600,indication
2034,protein
23512,protein
1959,protein
9855,protein
323,protein
79718,protein
51592,protein
9378,protein
22871,protein
634,protein
3479,protein
C1837475,indication
59341,protein
2782,protein
C0019156,indication
100506658,protein
1627,protein
401,protein
7222,protein
1508,protein
1475,protein
C1527304,indication
1471,protein
C0040517,indication
2919,protein
6900,protein
26047,protein
4495,protein
6812,protein
1020,protein
5657,protein
3684,protein
7494,protein
9229,protein
6374,protein
6372,protein
C0020479,indication
C0751967,indication
7804,protein
9425,protein
4287,protein
C0150055,indication
5757,protein
1808,protein
54538,protein
9353,protein
9495,protein
8804,protein
5457,protein
4261,protein
3122,protein
5885,protein
8832,protein
51199,protein
10855,protein
4488,protein
5460,protein
C2931618,indication
6657,protein
861,protein
7957,protein
10666,protein
5522,protein
C0302280,indication
6770,protein
4925,protein
54535,protein
9076,protein
1365,protein
7122,protein
23405,protein
26523,protein
3685,protein
3576,protein
C0002965,indication
C0014869,indication
C0032768,indication
5649,protein
C0149958,indication
C0234974,indication
10859,protein
7019,protein
1938,protein
C0270851,indication
9774,protein
10134,protein
974,protein
255520,protein
3135,protein
4867,protein
27031,protein
7533,protein
330,protein
3925,protein
3107,protein
6845,protein
26985,protein
117156,protein
92304,protein
4868,protein
6910,protein
22937,protein
6721,protein
57532,protein
22853,protein
10763,protein
648,protein
C0023472,indication
8867,protein
2054,protein
29116,protein
10330,protein
5164,protein
181,protein
1282,protein
C0428974,indication
C0948008,indication
26146,protein
57731,protein
C0016412,indication
5360,protein
160851,protein
5784,protein
3092,protein
2703,protein
350,protein
288,protein
2596,protein
C0013415,indication
5333,protein
151056,protein
C0021603,indication
7175,protein
6198,protein
5048,protein
8682,protein
C0015503,indication
23312,protein
2833,protein
C0002171,indication
3627,protein
C0282488,indication
4283,protein
6373,protein
972,protein
847,protein
54880,protein
22900,protein
3693,protein
4589,protein
9985,protein
C0000809,indication
50511,protein
C0020481,indication
1879,protein
6689,protein
65125,protein
6277,protein
4684,protein
C0271568,indication
9829,protein
6441,protein
5087,protein
22906,protein
4607,protein
2170,protein
3032,protein
5189,protein
5190,protein
81848,protein
9510,protein
6775,protein
10951,protein
C0007785,indication
C0020640,indication
1828,protein
1829,protein
3977,protein
3074,protein
5803,protein
26136,protein
1259,protein
8091,protein
C0042133,indication
487,protein
5350,protein
9690,protein
7625,protein
793,protein
2671,protein
6399,protein
1193,protein
10979,protein
10981,protein
687,protein
1840,protein
9739,protein
72,protein
6663,protein
3146,protein
8295,protein
6281,protein
9231,protein
9950,protein
525,protein
9217,protein
50617,protein
5213,protein
3039,protein
C0025637,indication
3313,protein
3516,protein
2020,protein
3202,protein
3975,protein
5015,protein
7319,protein
50937,protein
85358,protein
4784,protein
6237,protein
5256,protein
11315,protein
8450,protein
55240,protein
10564,protein
51738,protein
3976,protein
C0268483,indication
23522,protein
9203,protein
7750,protein
8544,protein
79084,protein
4208,protein
9569,protein
84148,protein
3329,protein
604,protein
6499,protein
112755,protein
11176,protein
7052,protein
10661,protein
8289,protein
8028,protein
4084,protein
9031,protein
2122,protein
8462,protein
51621,protein
8928,protein
23523,protein
10472,protein
10847,protein
7291,protein
64375,protein
3280,protein
23411,protein
429,protein
23741,protein
7021,protein
4194,protein
2627,protein
3181,protein
3660,protein
6688,protein
10576,protein
4487,protein
2737,protein
6778,protein
55809,protein
9314,protein
4762,protein
3659,protein
4854,protein
7799,protein
7324,protein
7325,protein
8106,protein
23112,protein
2634,protein
9211,protein
6236,protein
5501,protein
10140,protein
5568,protein
5577,protein
5395,protein
3195,protein
51604,protein
C0024790,indication
80328,protein
5911,protein
C0751362,indication
1512,protein
10451,protein
3855,protein
5339,protein
1730,protein
4082,protein
805,protein
6549,protein
C0001122,indication
389015,protein
1400,protein
1114,protein
54,protein
8614,protein
C0349464,indication
309,protein
C0687150,indication
79577,protein
5589,protein
8910,protein
826,protein
7204,protein
23774,protein
10436,protein
54977,protein
84966,protein
865,protein
6136,protein
6354,protein
8892,protein
965,protein
975,protein
9620,protein
5660,protein
1123,protein
1149,protein
1298,protein
50813,protein
5473,protein
51004,protein
6092,protein
10040,protein
3703,protein
3375,protein
617,protein
54903,protein
25874,protein
5826,protein
