node,type
DB00193,drug
DB06204,drug
DB11130,drug
DB06230,drug
DB00844,drug
DB00813,drug
DB00704,drug
DB09289,drug
DB09272,drug
DB01452,drug
DB06800,drug
DB00921,drug
DB00647,drug
DB00497,drug
DB00854,drug
DB00836,drug
DB00611,drug
DB00806,drug
5147,protein
DB00975,drug
DB00083,drug
388,protein
DB00126,drug
5066,protein
DB04519,drug
5465,protein
DB00573,drug
DB01132,drug
DB01393,drug
DB01241,drug
DB00132,drug
DB01039,drug
DB00328,drug
DB08983,drug
DB00313,drug
DB09064,drug
DB03017,drug
DB00636,drug
DB00412,drug
DB13873,drug
DB00159,drug
DB09006,drug
8503,protein
5290,protein
DB12483,drug
DB09054,drug
DB00851,drug
5226,protein
DB00920,drug
6403,protein
DB00594,drug
25865,protein
DB06637,drug
3739,protein
2241,protein
5594,protein
4751,protein
5170,protein
DB00482,drug
5590,protein
DB00307,drug
6256,protein
DB00755,drug
DB00162,drug
DB00210,drug
DB01436,drug
DB00749,drug
1191,protein
7048,protein
10572,protein
DB00864,drug
2280,protein
DB00877,drug
zotarolimus,drug
DB00337,drug
7046,protein
472,protein
25,protein
DB04868,drug
4914,protein
2242,protein
6714,protein
2048,protein
DB00922,drug
7137,protein
DB01244,drug
DB00831,drug
7157,protein
5708,protein
4921,protein
DB00108,drug
3676,protein
DB09033,drug
DB00290,drug
3980,protein
DB01349,drug
186,protein
DB00796,drug
DB08822,drug
DB09121,drug
5584,protein
660,protein
DB09053,drug
8573,protein
DB00798,drug
4036,protein
gentamycin,drug
DB00013,drug
2066,protein
DB03793,drug
9367,protein
DB05016,drug
1756,protein
DB00055,drug
2157,protein
DB13933,drug
DB13152,drug
DB00100,drug
5264,protein
L-Arginine,drug
445,protein
DB00125,drug
DB00155,drug
DB00128,drug
L-Citrulline,drug
5605,protein
DB08911,drug
DB00242,drug
5422,protein
DB00987,drug
DB01280,drug
DB01073,drug
DB00631,drug
fludarabine-phosphate,drug
DB01238,drug
3358,protein
DB00472,drug
spiperone,drug
DB00696,drug
DB00850,drug
DB00434,drug
DB00589,drug
DB01267,drug
DB00934,drug
DB00268,drug
DB06153,drug
DB00935,drug
DB00777,drug
DB01149,drug
DB00458,drug
DB00734,drug
DB00476,drug
DB00623,drug
DB00543,drug
DB06148,drug
DB04871,drug
DB00805,drug
DB00420,drug
DB01239,drug
DB09000,drug
DB00656,drug
DB06594,drug
DB01392,drug
DB00215,drug
DB01200,drug
DB01403,drug
DB01224,drug
DB01142,drug
DB08839,drug
DB01186,drug
DB09225,drug
DB00246,drug
DB01079,drug
DB12163,drug
DB00714,drug
DB01191,drug
DB09304,drug
DB00247,drug
DB06144,drug
DB01242,drug
DB00574,drug
DB09014,drug
DB00413,drug
DB00363,drug
DB00477,drug
DB06713,drug
367,protein
DB00621,drug
DB01063,drug
DB01026,drug
DB01395,drug
DB09123,drug
DB06718,drug
DB08899,drug
DB00984,drug
DB00499,drug
testosterone-enanthate,drug
DB13169,drug
DB09389,drug
testosterone-undecanoate,drug
DB00665,drug
DB08804,drug
DB01128,drug
DB02901,drug
DB01420,drug
DB08604,drug
DB06412,drug
DB00858,drug
7182,protein
56924,protein
598,protein
DB01599,drug
19,protein
DB01016,drug
DB05266,drug
5144,protein
DB05676,drug
DB00651,drug
DB00131,drug
DB09283,drug
DB01656,drug
DB01025,drug
DB09273,drug
DB00277,drug
DB01088,drug
3172,protein
3718,protein
1432,protein
5693,protein
6278,protein
3761,protein
2047,protein
50488,protein
DB01003,drug
6286,protein
659,protein
DB09039,drug
7357,protein
DB00419,drug
11157,protein
DB01138,drug
1244,protein
2185,protein
DB01097,drug
2475,protein
DB06287,drug
DB01590,drug
2100,protein
5468,protein
DB09198,drug
DB00731,drug
DB01067,drug
DB01252,drug
DB00966,drug
DB00912,drug
3312,protein
5241,protein
DB00717,drug
DB05521,drug
chlormadinone-acetate,drug
DB00378,drug
DB00451,drug
7068,protein
DB00509,drug
5753,protein
5689,protein
6035,protein
5880,protein
DB11324,drug
7442,protein
DB09288,drug
DB01744,drug
DB00316,drug
DB06774,drug
DB11131,drug
DB04941,drug
1080,protein
DB09280,drug
DB08820,drug
DB00887,drug
DB11712,drug
190,protein
4215,protein
5607,protein
9311,protein
sodium-salicylate,drug
DB03619,drug
9971,protein
DB05990,drug
DB02659,drug
DB01586,drug
DB06777,drug
5564,protein
DB00331,drug
5571,protein
51422,protein
5565,protein
DB00928,drug
1788,protein
DB01262,drug
5602,protein
5600,protein
DB06176,drug
8841,protein
DB05015,drug
DB02546,drug
DB06603,drug
5427,protein
7099,protein
4170,protein
DB04115,drug
332,protein
DB00206,drug
9212,protein
8737,protein
DB00583,drug
6583,protein
116085,protein
DB11560,drug
DB01356,drug
2932,protein
94121,protein
8576,protein
DB00141,drug
55577,protein
DB01382,drug
3758,protein
DB00222,drug
DB00839,drug
DB00414,drug
DB00350,drug
DB01124,drug
5034,protein
DB01303,drug
